DURATION,DAYS,ESTIMATE
1 DASY,1,
APPROX A DAY,1,1
1 DAY S,1,
"1 WEEK,",7,
1-3 WEEKS,21,1
15 NULL,?,1
WINTER,?,1
12 DAYS,12,
1/2 DAY,1,
2 TO 3 DAYS,3,1
9 WEEKS,63,
96 DAYS,96,
FEW WEEKS,?,1
1 MONTHS,30,
8 MONTHS,240,
1HR,1,
30 WEEK(S),210,
6 HOURS,1,
1-2 WEEKS,14,1
250 DAYS,250,
28 DAYS,28,
8-9 MONTHS,270,1
1DAY,1,
2WKS,14,
I DAY,1,
14 MONTHS,420,
1 - 2 DAYS,2,1
04/7/23 -05/1/2,25,
4 YEARS,1460,
450 DAYS,450,
182 DAYS,182,
5-6 DAYS,6,1
1.5 MONTHS,45,
1 DAYS,1,
THREE DAYS,3,
OVER 15 DAYS,15,1
270,270,
5,5,
UNKOWN,?,1
5-7 DAYS,7,1
200 DAYS,200,
4-6 HOURS,1,
25 DAYS,25,
30DAYS,30,
3 MONTH,90,
1WEEK,7,
2-WEEKS,14,
4-5 DAYS,5,1
OKLAHOMA ELECTR,?,1
LESS THAN 1 DAY,1,1
COUPLE WEEKS,14,
1 WEEJ,7,
2 YRS,730,
1 YR,365,
48 HRS,2,
100 DAYS,100,
90,90,
30 MINUTES,1,
6-9 MONTHS,270,1
2-3 MONTHS,90,1
NOT DIGGING,?,1
7,7,
10 DAY,10,
AT LEAST 1 MONT,30,1
2HRS,1,
FOUR WEEKS,28,
8 TO 10 DAYS,10,1
LESS THAN 10 DA,10,1
O DAYS,1,
1  YEAR,365,
7-10 BUSINESS D,14,1
48 HOURS,2,
1-DAY,1,
DAY,1,
5 WEEKS,35,
12HRS,1,
160 DAYS,160,
ALL DAY,1,
7 DAY,7,
365 DAYS,365,
MONTH,30,
2-3 HOURS,1,
30 DAYS +/-,30,1
14 DAY,14,
ONE TO TWO DAYS,2,1
12 HOURS,1,
6-7 MONTHS,210,1
3 DAY(S),3,
6-8 WEEKS,56,1
596 HRS.,25,
100,100,
FIFTEEN DAYS,15,
2HR,1,
14-21 DAYS,21,1
HALF DAY-1 DAY,1,1
3-4 MONTHS,120,1
1-WEEK,7,
240 DAYS,240,
IN NEXT THREE D,3,1
3 OR 4 DAYS,4,1
A DAY,1,
SEVERAL DAYS,?,1
3 DAY,3,
10  DAYS,10,
4 TO 8 HOURS,1,
1-2 MONTHS,60,1
10 BUSINESS DAY,14,
600 DAYS,600,
20-30 DAYS,30,1
3 YEARS,1095,
LESS THAN 1 WEE,7,1
30 MINS,1,
15-20 DAYS,20,1
1 TO 2 DAYS,2,1
2 DAYS 12/29/20,2,
8 MOS,240,
11 MONTHS,330,
A YEAR,365,
6DAYS,6,
COUPLE OF WEEKS,14,
1 WK,7,
3WKS,21,
99DAYS,99,
72HRS,3,
4 - 6 WEEKS,42,1
2  WEEKS,14,
3 HRS,1,
COUPLE OF DAYS,2,
150 DAYS,150,
210 DAYS,210,
08 HOURS,1,
6 WKS,42,
2-3 DAY,3,1
MARCH 10TH-11TH,2,
60-90 DAYS,90,1
2  DAYS,2,
1-2 HOURS,1,
3HR,1,
15 DAY,15,
DIGGING HOLES F,?,1
2 MOS,60,
FEW HOURS,1,
32 DAYS,32,
1 HOURS,1,
30MINS,1,
4 TO 5 DAYS,5,1
2 WEEK,14,
2 DAYA,2,
17 MONTHS,510,
14 DAYWS,14,
ON-GOING,?,1
360 DAYS,360,
SEVERAL MONTHS,?,1
1  MONTH,30,
NA,?,1
19 DAYS,19,
4 - 5 WEEKS,35,1
2 WEELS,14,
5DAYS,5,
14DAY,14,
8HR,1,
UNK,?,1
2 MO,60,
31 DAYS,31,
ONE HOUR,1,
5 HOURS,1,
30-DAYS,30,
10 0DAYS,10,
1 - 2 WEEKS,14,1
24 MONTHS,720,
11 DAYS,11,
UNSURE,?,1
6HR,1,
52 WEEKS,364,
4HRS,1,
1 WEEKEND,7,
1 DAY`,1,
1MONTH,30,
3 TO 4 DAYS,4,1
15 DAY S,15,
9 DAYS,9,
66 DAYS,66,
8-10 DAYS,10,1
6 MOS,180,
5 DYAS,5,
2-4 WEEKS,28,1
5MO,150,
3-DAYS,3,
4-6 WEEKS,42,1
2-3HRS,1,
3-4 WEEKS,28,1
BPU,?,1
2 - 3 DAYS,3,1
INSIGNIA SIGNS,?,1
30-40 DAYS,40,1
3 MO,90,
1 DAYY,1,
N/A,?,1
2.5 WEEKS,18,
21 DAY,21,
4WKS,28,
14 HOUR(S),1,
300 DAYS,300,
3 DIAS,3,
8WEEKS,56,
500 DAYS,500,
8 TO 12 MONTHS,360,1
6 MOTHS,180,
20DAYS,20,
5 TO 6,6,1
1-2MONTHS,60,1
7-DAYS,7,
1WK,7,
35 DAYS,35,
1  DAY,1,
A COUPLE WEEKS,14,
14 DYAS,14,
02-15 TO 03-01,15,
70 DAY,70,
5 D,5,
A FEW DAYS,?,1
1 WEEK?,7,1
2 - 3 WEEKS,21,1
3 DYAS,3,
1 MO,30,
2 OURS,1,
24 HOURS,1,
2-10 DAYS,10,1
1-2DAYS,2,1
SEVERAL HOURS,1,
9-12 MONTHS,360,1
",",?,1
4-6 HRS,1,
75 DAY(S),75,
FOUR DAYS,4,
90 DAY,90,
2 DAYS EACH,2,
270 DAYS,270,
90 MINUTES,1,
ONE YEAR,365,
70 DAYS,70,
1-1.5 DAYS,2,1
END OF DECEMBER,?,1
MAY TAKE 30-45,45,1
3 TO 4 WEEKS,28,1
16 DAYS,16,
N,?,1
ELECTRIC DISTRI,?,1
48HRS,2,
FULL DAY,1,
3 MONSTH,90,
8,8,
2? DEEP POSTS,?,1
42 DAYS,42,
SCOTT KUYKENDAL,?,1
720 HOURS,30,
20,20,
I WEEK,7,
?,?,1
30 TO 45 DAYS,45,1
LESS THAN 5 DAY,5,1
30 MINS - 1 HOU,1,
32 WEEKS,224,
4DAYS,4,
1DAYS,1,
WEEKEND,2,
1W,7,
UP TO 4 WEEKS,28,1
24 HRS - 12/30/,1,
WEEKS,?,1
WITHIN A WEEK,7,1
5 DAY(S),5,
1 YEAF,365,
0.5 DAY,1,
2.5 MONTHS,75,
10 DAYSAYS,10,
6 WEEK,42,
AN HOUR,1,
HALF A DAY,1,
11/14 - 11/22,9,
5 TO 6 WEEKS,42,1
THREE WEEKS,21,
THREW WEEKS,21,
.,?,1
1 OR 2 DAYS,2,1
80 DAYS,80,
A MONTH,30,
14-18 DAYS,18,1
1-1/2 YEARS,548,
0NE MONTH,30,
10+ DAYS,10,1
9DAYS,9,
AT MINIMUM ONE,1,1
4WEEKS,28,
3-4 HOURS,1,
30 DAYYS,30,
3 HR,1,
20 DAY,20,
DAY OR TWO,2,1
3 MONTS,90,
UNTIL MARCH,?,1
1 YEAR(S),365,
7 AYS,7,
1 DAYN,1,
PIPELINE BOND I,?,1
6,6,
2 HR,1,
3 WKS,21,
3-4DAYS,4,1
2-3DAYS,3,1
15 MINUTES,1,
4 TO 6 MONTHS,180,1
DAYS,?,1
17 DAYS,17,
2-4 HOURS,1,
APPROX 6 MONTHS,180,1
1500 HOURS,63,
UP TO 4 HOURS.,1,
1 DAU,1,
COUPLE HOURS,1,
2 TO 4 DAYS,4,1
1WEEK OR LESS,7,1
300FT,?,1
40 DAYS,40,
TWO MONTHS,60,
APPX 3 WEEKS,21,1
6 HRS,1,
1-5 DAYS,5,1
APPROX. 2 WEEKS,14,1
1 TO 3 DAYS,3,1
APPX 1 WEEK,7,1
4 TO 7 DAYS,7,1
30 DAY,30,
4 WEEK,28,
3-7 DAYS,7,1
PROJECT WILL RA,?,1
1.5 HR,1,
60DAYS,60,
6 MO,180,
AN AFTERNOON,1,
APPX 10 DAYS,10,1
30 MINUTES MAX.,1,
SAME DAY,1,
1 D,1,
2-DAYS,2,
8HRS,1,
LESS THAN A DAY,1,
APRIL,30,
10-DAYS,10,
1.5 DAYS,2,
A COUPLE HOURS,1,
18 DAYS,18,
"TWO WEEKS, MAYB",14,1
6 W,42,
3 MOMTHS,90,
12,12,
APPROX. 1 DAY,1,1
"UNSURE, MANUAL",?,1
"10,000 SQ FT OR",?,1
50 DAYS,50,
2  HOURS,1,
APPROX 90 DAYS,90,1
10-15 DAYS,15,1
99 MONTHS,2970,
LESS THAN A HAL,?,1
18-20 DAYS,20,1
10DAY,10,
6 MONTHS TO A 1,365,1
8 MONTH,240,
10 TO 15 DAYS,15,1
72 HRS,3,
2 - 3 HOURS,1,
ABOUT 10 DAYS,10,1
APPX 1 DAY,1,1
APPROX 3 DAYS,3,1
3-9 DAYS,9,1
ONEGAS,?,1
4 HR,1,
2 TO 3 WEEKS,21,1
3HRS,1,
HALD DAY,1,
1 EEK,7,
HALF OR ONE DAY,1,
A FEW HOURS,1,
10-12 DAYS,12,1
A FEW HOURS.,1,
2+ WEEKS,14,1
APPROX. 1 MONTH,30,1
3 DAYS.,3,
1WJ,7,
BACKYARD AND SI,?,1
MONTHS,?,1
3M,90,
APPROX 6 HOURS,1,
2 DAY INSTALL,2,
16 HOURS,1,
4-5 HOURS,1,
1/2 HOUR,1,
24HR,1,
1   DAY,1,
30 MIN,1,
25DAYS,25,
16 WEEJS,112,
6 MONTH,180,
3 TO 5 DAYS,5,1
5MONTHS,150,
01/2/21 1-2 DAY,2,1
1.5 WEEKS,11,
1.5 HRS,1,
2-.3 DAYS,3,1
O,?,1
ABOUT A MONTH,30,1
2 WEEKS - 1 MON,30,1
SETTING NEW POS,?,1
FIVE DAYS,5,
APPROX.2 WEEKS,14,1
UKNOWN,?,1
2 HOURSE,1,
1.5 HOURS,1,
1M,30,
THREE MONTHS,90,
ALWAYS,?,1
ONE DAY.,1,
99,99,
2 WQEEKS,14,
NEW FENCE & GAT,?,1
10 DYS,10,
ONE OR TWO DAYS,2,1
8 HOUR(S),1,
329 HOURS,14,
3 HRS PER POLE,1,
3+ WEEKS,21,1
99 DAYS,99,
1 TO 5 DAYS,5,1
"SEPT 17, 18, 19",3,
2/17 - 3/1,13,
15 DAYSYS,15,
1 MONTH ON THE,30,
4  DAYS,4,
2--3 DAYS,3,1
2MONTHS,60,
110 DAYS,110,
15 DATS,15,
30 TO 60 DAYS,60,1
ESTIMATED 7 DAY,7,1
2700 SQ FT,?,1
48,48,
72 HOURS,3,
10MINUYES,1,
2.5 HOURS,1,
12 INCHES,?,1
MARCH,31,
5/5-5/10,6,
1 ADY,1,
APX. 1 WEEK,7,1
6 HOURS @ LEAST,1,
LESS THAN A WEE,7,1
10-14 DAYS,14,1
DON~T KNOW,?,1
2 HOUR,1,
1-4 DAYS,4,1
"3 DAYS, WORST C",3,1
2HRD,1,
15 DATYS,15,
DIG UP AND REPA,?,1
80FT,?,1
UNTIL COMPLETED,?,1
2 OWNERS,?,1
1/13/22-1/20/22,8,
20 MINUTES,1,
327 HOURS,14,
2 TO 3 MONTHS,90,1
LESS THAN 4 HOU,1,
TODAY,1,
1YEAR,365,
3/6-3/31/2023,26,
0,1,
APPROX 14 DAYS,14,1
7 WORKING DAYS,7,
2 DAYS WORK,2,
40 HRS.,2,
20 DAYHS,20,
5 TO 7 BUSINESS,9,
A MORNING,1,
3 TO 4 MONTHS,120,1
3 MO.,90,
2 WEKS,14,
6-17-6-22,6,
1 1/5 WEEKS,9,
EIGHT DAYS,8,
1 HOURT,1,
5 WEEEKS,35,
BETWEEN 1WK-1MT,30,1
APPROXIMATELY 1,1,1
35,35,
1-2 WKS,14,1
1/2 A DAY,1,
24 DAYS,24,
2 DAAYS,2,
ESTIMATED COMPL,?,1
6 FT ANCHOR,?,1
1 WEEK.,7,
30DAY,30,
COUPLE OF HOURS,1,
APPROX 10 DAYS,10,1
3C DAYS,3,
3  DAYS,3,
TBD,?,1
ONGOING,?,1
15 - 20 DAYS,20,1
THIS SUMMER,94,1
ATT,?,1
LESS THAT 1 DAY,1,1
12-18 MONTHS,540,1
2 WEEKD,14,
7 TO 10 DAYS,10,1
6MOS,180,
596 HRS,25,
151 DAYS,151,
13 DAYS,13,
16 WEEKS,112,
28,28,
2-3 HRS,1,
BUILD SHOP PAD,?,1
8-10 WKS,70,1
3 - 7 DAYS,7,1
20-25 MINS,1,
4 HOUR(S),1,
1 - 2 HOURS,1,
03 DAYS,3,
2 WEEKSKS,14,
3 WEEKSKS,21,
36,36,
LESS THAN 45 DA,45,1
TWO WEEKS APPRO,14,1
1 DA,1,
2-DAY,2,
2-3WKS,21,1
START THE 6TH F,?,1
30+ DAYS,30,1
2 WEEKS FOR SIT,14,
"2 DAYS,",2,
4 MONTH,120,
1 1/2 DAYS,2,1
WEDNESDAY MORNI,1,
2 - 4 DAYS,4,1
2 DAYSN,2,
10AM ON,?,1
SURVEY,?,1
LESS THAN AN HO,1,
UNKKNOWN,?,1
6-8 HOURS,1,
TREE FOR YEARS,?,1
ONE TIME,1,
W,?,1
CONTRACTOR,?,1
WILL POSSIBLY D,?,1
POSSIBLY 1-2 MO,60,1
5 HRS,1,
SIDE OF HOME AN,?,1
YEARS,?,1
APPROX 1 MONTH,30,1
APPROX 3-4 DAYS,4,1
6+ MONTHS,180,1
2/16-2/26,11,
3 DAYSAYS,3,
4 DAY,4,
12 MO,360,
1HRR,1,
2 WEKKS,14,
3 MOS,90,
2 DAYS3,2,
2 WEEEKS,14,
10 DAYS +,10,1
4/15 TO 4/17,3,
1-3DAYS,3,1
WESTAR ENERGY,?,1
ABOUT 3 HOURS,1,
ONE HOURE HOUR,1,
1 OR 2 WEEKS,14,1
3 BUSINESS DAYS,3,
1 NIGHT,1,
7-14 DAYS,14,1
1/3 DAYS,3,1
1 - 4 DAYS,4,1
1 DSAY,1,
1DAYP,1,
APPROX ONE WEEK,7,1
WITHIN 2 WEEKS,14,1
3 DAYSYS,3,
10-12 WEEKS,84,1
A COUPLE DAYS,2,
24.DAYS,24,
150 FEET,?,1
2 WK,14,
4/1/23-4/10/23,10,
TWO TO THREE DA,3,1
120,120,
3 DYS,3,
2 WEEJS,14,
7 CALENDAR DAYS,7,
PIPELINE TEST S,?,1
SURFACE TO 6 IN,?,1
4HR,1,
2DAY,2,
65 DAYS,65,
NOT SURE,?,1
1-2 WEEKENDS,11,1
4-5 HRS,1,
4 TO 6 HOURS,1,
3 MTHS,90,
A DAY OR TWO,2,1
1YR,365,
1 SAYS,1,
1 DAY TO SET UP,1,
14 WEEKS,98,
2 DAYS -- 01/07,2,
8-12 WEEKS,84,1
5-6 TO 5-9-2020,4,
ONE WEEKEND,2,
HALF AN HOUR,1,
20 MINS,1,
THIS WEEKEND,2,
ASPHALT DEEP PA,?,1
28 DAY(S),28,
3 WEEK,21,
1 DAY JESS,1,
FOOTING,?,1
1 DAY - 12/23/2,1,
2-3-DAYS,3,1
5-6 HOURS,1,
4-6 DAYS,6,1
1 DA Y,1,
APPX 2 WEEKS,14,1
30 DAYS DAYS,30,
IDK?,?,1
6-10 DAYS,10,1
1 DAT,1,
PROPERTY PINE T,?,1
1 DSY,1,
6 INCHES,?,1
1-2  DAY,2,1
15 TO 20 DAYS,20,1
ABOUT 1 WEEK,7,1
COUPLE MONTHS,60,
5-6 WEEKS,42,1
4/14/23 5/1/23,18,
2 AYS,2,
480 DAYS,480,
5 ACRES,?,1
3 M,90,
45 MINS,1,
6/3/19 - 7/3/19,31,
12/7-12/10,4,
55 DAYS,55,
2 - 4 WEEKS,28,1
? 1 WEEK,7,1
1 - 2 MONTHS,60,1
4 WKS,28,
4HOURS,1,
LESS THAN 1 HOU,1,
4-6 HOURSN,1,
1-2 DAYS.,2,1
4 - 5 HOURS,1,
APPX 3 DAYS,3,1
TEAR OUT AND RE,?,1
APPROX COUPLE W,14,1
4 HORUS,1,
10/18 - 11/01,15,
3 - 4 WEEKS,28,1
10 BUSINESS  DA,14,
1 OR TWO DAYS,2,1
"TWO WEEKS, IN S",14,
1-2 DAY,2,1
1- 2 WEEKS,14,1
MONTH OF APRIL.,30,
3 OR 4 MONTHS I,120,1
NOVEMBER 4-8,5,
4 DAYS (6-9 JUL,4,
ONW WEEK,7,
3 DAYS- 1 WEEK,7,1
12 D,12,
A FEW WEEKS,?,1
3 DAYS?,3,1
10 MINUTE,1,
COUPLE DAY,2,
3DAYZ,3,
ABOUT A WEEK,7,1
1 HRRR,1,
11,11,
TWO WEEK,14,
3HOURS,1,
12 HRS,1,
4-5 MONTHS,150,1
OGE,?,1
1 DAY INSTALL,1,
7 MONTH,210,
3 DAUS,3,
3 - 4 DAYS,4,1
15 OR 20 DAYS,20,1
4 DAYS JUNE 8 T,4,
TO BE DETERMINE,?,1
2-4 DAYS,4,1
APRIL 8TH-10TH,3,
REAR OF PROPERT,?,1
TWO,2,
2 OR 3 WEEKS,21,1
8/21-8/26,6,
10 WORKING DAY,10,
72,72,
3FT,?,1
ONE TO TWO WEEK,14,1
2HOURS,1,
APPROX 270DAYS,270,1
1ADY,1,
FIVE (5) MONTHS,153,
A COUPLE OF DAY,2,
WITHIN 1 WEEK,7,1
10 - 14 DAYS,14,1
60 DAY(S),60,
7 BUISINESS DAY,9,
6 BUSINESS DAYS,8,
PERMANANT,?,1
3 HOUS,1,
40 MINS,1,
3-4 HRS,1,
20 HOURS,1,
7-8 DAYS,8,1
12MO,360,
20 WEEKS,140,
2-3 WEEKS.,21,1
2WK,14,
5 MINUTES,1,
NEXT THREE YEAR,1095,1
2 TO 4 HOURS,1,
POLE CHANGE OUR,?,1
7 WEEKS,49,
1 DAYAY,1,
27 DAYS,27,
REMOVAL,?,1
12-16 DAYS,16,1
1 -2 DAYS,2,1
UP TO FALL,?,1
10 DAYS. PLAN T,10,
IN TWO WEEKS,14,
2/3 DAYS,3,1
1 BUSINESS DAY,1,
6 HR,1,
3 WEEKS.,21,
3 DA,3,
.5 DAYS,1,
7 TO 14 DAYS,14,1
ABOUT 3 DAYS,3,1
2 DAY S,2,
2-8 WEEKS,56,1
4 TO 5 WEEKS,35,1
ABOUT 14 DAYS,14,1
DIGGING 50? TO,?,1
WITHIN A COUPLE,?,1
15 MINS,1,
APPROX 2 DAYS,2,1
3 WEKES,21,
1 TO 2 WEEKS,14,1
13 WEEKS,91,
ON GOING,?,1
2 MON,60,
LESS THAN 1 MON,30,1
1 MONTH MAYBE L,30,1
2 MOTNHS,60,
APPROX. 1 WEEK,7,1
THE BUILDER SAI,?,1
I MONTH,30,
8-10WKS,70,1
REPLACE,?,1
APPROX 15 MINUT,1,
4WEKS,28,
1/2 DAY ON FEB.,1,
1-2 DAYS - 12/2,2,1
WITHIN 10 DAYS,10,1
UNKNOWN - WITHI,?,1
330 DAYS,330,
10 HRS,1,
2 DYAS,2,
2 HOUIRS,1,
60 MINUTES,1,
5HRS,1,
5 DAYS Y,5,
2 WEEK S,14,
UP TO 2 DAYS,2,1
25 MINUTES,1,
4 TO 5,5,1
1 D AY,1,
FRIDAY THE 14TH,1,
2.DAYS,2,
ONE TO TWO WEE,14,1
APPROX 1 WEEK,7,1
NO MORE THAN 2,2,1
1 DAQY,1,
4/17/19 - 4/22,6,
"WEDNESDAY, 9/7",1,
ALL THE TIME,?,1
ANYTIME,?,1
ONE,1,
"APPROX, 2 WEEKS",14,1
6 MONTHS?,180,1
420 DAYS,420,
1 TO 3 HRS,1,
3-4HRS,1,
4-8 WEEKS,56,1
APPX 1 MONTH,30,1
APPX 2 DAYS,2,1
115 DAYS,115,
MAY,31,
1 TO 2 MONTHS,60,1
30-45 DAYS,45,1
56 DAYS,56,
INDEFINITE,?,1
3 OR 4 HOURS,1,
7-25 THRU 7-28,4,
4 WEEK(S),28,
DAVIS H ELLIOT,?,1
COX COMMUNICATI,?,1
TAKE ABOUT 6 HO,1,
15 WEEKS,105,
SEVEN DAYS,7,
10 MINUTES,1,
ONEDAY,1,
THIRTY DAYS,30,
1 MINTH,30,
SEP 8-18,11,
5 WEEK(S),35,
5 DAYS?,5,1
4/8 HRS,1,
LESS THAN 2 DAY,2,1
A PARTIAL DAY,1,
12-13 DAYS,13,1
1-2-WEEKS,14,1
10-13 DAYS,13,1
SEPTEMBER,30,
1 HOUOR,1,
ABOUT 5 HOURS,1,
LOCATING FOR DE,?,1
6-7 DAYS,7,1
4 - 5 DAYS,5,1
1 TO 2 HOURS,1,
NEXT 90 DAYS,90,1
1 DAI,1,
1 AFTERNOON,1,
10 DYAS,10,
10 NULL,?,1
SEPT 18-28,11,
15 SAYS,15,
13 MONTHS,390,
FORESEEABLE FUT,?,1
A WEEKEND,2,
48 MONTHS,1440,
FOR EVER,?,1
PIPE FENCE,?,1
60 MINS,1,
10-15 MINUTES,1,
PROPERTY LINE P,?,1
1HRS,1,
156 HOURS,7,
08/22-25/2022,4,
2 BUSINESS DAYS,2,
THE NEXT 3 WEEK,21,1
"A FEW WEEKS, SU",?,1
3 TO 6 MONTHS,180,1
1/2 DAYS,1,
HOMEOWNER,?,1
2 DSYS,2,
1 MONTH OR LESS,30,1
ABOUT 5-7 DAYS.,7,1
^ 2 WEEKS,14,1
SPRING,93,
1 MONTH.,30,
9-1 TO 9-30,30,
3 DAYSN,3,
10-20 DAYS,20,1
7 ADYS,7,
1-3 DAY,3,1
UNKNOWN 2 DAYS?,2,1
0.5 DAYS,1,
2 WEEKS - 12/30,14,
AROUND A MONTH,30,1
NO MORE THAT 5,5,1
4/20/2022-4/25/,6,
4 DA7S,4,
LESS THAN 2 WKS,14,1
2 MOS.,60,
2 HOURS ATT,1,
8 HOURS - 01/06,1,
1 WEEK - 10 DAY,10,1
5 WORKING DAYS,5,
2 DAUS,2,
1 WEEK EXCAVATI,7,
WITHIN 15 DAYS,15,1
5/3/22 TO 2/20/,294,
APPROX 1 DAY,1,1
24-72 HRS,3,1
TEN BUSINESS DA,14,
20 MIN,1,
TEN DAYS,10,
10MINUTES,1,
1 WEEKK,7,
1 1/2 MONTHS,45,
THROUGH FEB,?,1
UNTIL FINISHED,?,1
4-8 HRS,1,
3 DAYSS,3,
2 WIEEKS,14,
PROBABLY A DAY,1,1
UNDER 24 HOURS.,1,
4WK,28,
9/15 TO 9/17,3,
1.5,2,
JUNE 30TH,1,
5 TO 6 DAYS,6,1
3 TO 5 WEEKS,35,1
1 WEEK AT MOST,7,1
2 MONTTS,60,
1 WEK,7,
4 DOURS,4,
ONE-TWO WEEKS.,14,1
3 - 5 DAYS,5,1
SHOULD BE NO MO,?,1
4/26/22-5/7/22,12,
10MINS,1,
TWO WEEKENDS,11,
6 MONTHS TO 1 Y,365,1
NOVEMBER 26-30,5,
UP TO 2 WEEKS,14,1
1-2 YEARS,730,1
3 WEEKS OR SO,21,1
16 HRS,1,
1 DAYS WORK,1,
2 DASY,2,
2 WEEKENDS,11,
UNKNOW,?,1
2- WEEKS,14,1
MAYBE 2 DAYS,2,1
5DAY,5,
4 TO 6 HRS,1,
20 MONTHS,600,
JUNE,30,
7 HOURS,1,
60 DAY,60,
1 1/2 HOURS,1,
SAT 27TH SUN28T,2,
21 DAY(S),21,
UNKNONW,?,1
MARCH 9 - 13,5,
20-30 MINS,1,
10?,10,1
10-12 HOURS,1,
4.5 HOURS,1,
24,24,
BASED ON WEATHE,?,1
3 DAYS TO DIG A,3,
6 MONTHS TO A Y,365,1
1 DAY.,1,
5 MIN,1,
REPLACE FENCE,?,1
1 WORKING DAY,1,
Q) DAYS,?,1
3-=4 DAYS,4,1
1DAT,1,
5 -10 DAYS,10,1
3 MONTHS + / -,90,1
WEEK TO A MONTH,30,1
1 HOIR,1,
2-8 HOURS,1,
<1 DAY,1,1
THEY VARY,?,1
IS TWO HOURS,1,
4?-6? CUT BESID,?,1
12/16 TO 12/31,16,
T,?,1
B803251 DAY,?,1
7/1 -7/16,16,
HUTCH,?,1
WITHIN A DAY,1,
"TWO WEEKS, APPR",14,1
LESS THAN WK,7,1
APPROX 2 WEEKS,14,1
? TWO WEEKENDS?,9,1
HOUR,1,
SPRING / SUMMER,186,
@ DAYS,2,
8-10 HOURS,1,
3 CAYS,3,
1-3 MONTHS,90,1
POSSIBLY 6 MO.,180,1
NO TIMEFRAME,?,1
1 WEAK,7,
ABOUT 2-3 WEEKS,21,1
3 DAYS OR LESS,3,1
TEST STATION IN,?,1
15 :DAYS,15,
40 HRS,2,
5 DAYSAYS,5,
A WEEK OR TWO,14,1
03/30 -04/14/22,16,
4 OR 5 DAYS,5,1
FALL 2023,91,
"6 ,OMTHS",180,
A WEEK OR A LIT,7,1
357 HOURS,15,
UP TO 1 WEEK,7,1
11/23 TO 12/11/,19,
3 TO5 DAYS,5,1
9/22/17-9/30/17,9,
8-12 MONTHS,360,1
30  DAYS,30,
2 DAS,2,
.5 DAY,1,
