DURATION,DAYS,ESTIMATE
8HR,1,0
UNK,0,1
2 MO,60,0
31 DAYS,31,0
ONE HOUR,1,0
5 HOURS,1,0
30-DAYS,30,0
10 0DAYS,10,0
1 - 2 WEEKS,14,1
24 MONTHS,720,0
11 DAYS,11,0
UNSURE,0,1
6HR,1,0
52 WEEKS,364,0
4HRS,1,0
1 WEEKEND,7,0
1 DAY`,1,0
1MONTH,30,0
3 TO 4 DAYS,4,1
15 DAY S,15,0
9 DAYS,9,0
66 DAYS,66,0
8-10 DAYS,10,1
6 MOS,180,0
5 DYAS,5,0
2-4 WEEKS,28,1
5MO,150,0
3-DAYS,3,0
4-6 WEEKS,42,1
2-3HRS,1,0
3-4 WEEKS,28,1
BPU,0,1
2 - 3 DAYS,3,1
INSIGNIA SIGNS,0,1
30-40 DAYS,40,1
3 MO,90,0
1 DAYY,1,0
N/A,0,1
2.5 WEEKS,18,0
21 DAY,21,0
4WKS,28,0
14 HOUR(S),1,0
300 DAYS,300,0
3 DIAS,3,0
8WEEKS,56,0
500 DAYS,500,0
8 TO 12 MONTHS,360,1
6 MOTHS,180,0
20DAYS,20,0
5 TO 6,6,1
1-2MONTHS,60,1
7-DAYS,7,0
1WK,7,0
35 DAYS,35,0
1  DAY,1,0
A COUPLE WEEKS,14,0
14 DYAS,14,0
02-15 TO 03-01,15,0
70 DAY,70,0
5 D,5,0
A FEW DAYS,0,1
1 WEEK?,7,1
2 - 3 WEEKS,21,1
3 DYAS,3,0
1 MO,30,0
2 OURS,1,0
24 HOURS,1,0
2-10 DAYS,10,1
1-2DAYS,2,1
SEVERAL HOURS,1,0
9-12 MONTHS,360,1
",",0,1
4-6 HRS,1,0
75 DAY(S),75,0
FOUR DAYS,4,0
90 DAY,90,0
2 DAYS EACH,2,0
270 DAYS,270,0
90 MINUTES,1,0
ONE YEAR,365,0
70 DAYS,70,0
1-1.5 DAYS,2,1
END OF DECEMBER,0,1
MAY TAKE 30-45,45,1
3 TO 4 WEEKS,28,1
16 DAYS,16,0
N,0,1
ELECTRIC DISTRI,0,1
48HRS,2,0
FULL DAY,1,0
3 MONSTH,90,0
8,8,0
2? DEEP POSTS,0,1
42 DAYS,42,0
SCOTT KUYKENDAL,0,1
720 HOURS,30,0
20,20,0
I WEEK,7,0
?,0,1
30 TO 45 DAYS,45,1
LESS THAN 5 DAY,5,1
30 MINS - 1 HOU,1,0
32 WEEKS,224,0
4DAYS,4,0
1DAYS,1,0
WEEKEND,2,0
1W,7,0
UP TO 4 WEEKS,28,1
24 HRS - 12/30/,1,0
WEEKS,0,1
WITHIN A WEEK,7,1
5 DAY(S),5,0
1 YEAF,365,0
0.5 DAY,1,0
2.5 MONTHS,75,0
10 DAYSAYS,10,0
6 WEEK,42,0
AN HOUR,1,0
HALF A DAY,1,0
11/14 - 11/22,9,0
5 TO 6 WEEKS,42,1
THREE WEEKS,21,0
THREW WEEKS,21,0
.,0,1
1 OR 2 DAYS,2,1
80 DAYS,80,0
A MONTH,30,0
14-18 DAYS,18,1
1-1/2 YEARS,548,0
0NE MONTH,30,0
10+ DAYS,10,1
9DAYS,9,0
AT MINIMUM ONE,1,1
4WEEKS,28,0
3-4 HOURS,1,0
30 DAYYS,30,0
3 HR,1,0
20 DAY,20,0
DAY OR TWO,2,1
3 MONTS,90,0
UNTIL MARCH,0,1
1 YEAR(S),365,0
7 AYS,7,0
1 DAYN,1,0
PIPELINE BOND I,0,1
6,6,0
2 HR,1,0
3 WKS,21,0
3-4DAYS,4,1
2-3DAYS,3,1
15 MINUTES,1,0
4 TO 6 MONTHS,180,1
DAYS,0,1
17 DAYS,17,0
2-4 HOURS,1,0
APPROX 6 MONTHS,180,1
1500 HOURS,63,0
UP TO 4 HOURS.,1,0
1 DAU,1,0
COUPLE HOURS,1,0
2 TO 4 DAYS,4,1
1WEEK OR LESS,7,1
300FT,0,1
40 DAYS,40,0
TWO MONTHS,60,0
APPX 3 WEEKS,21,1
6 HRS,1,0
1-5 DAYS,5,1
APPROX. 2 WEEKS,14,1
1 TO 3 DAYS,3,1
APPX 1 WEEK,7,1
4 TO 7 DAYS,7,1
30 DAY,30,0
4 WEEK,28,0
3-7 DAYS,7,1
PROJECT WILL RA,0,1
1.5 HR,1,0
60DAYS,60,0
6 MO,180,0
AN AFTERNOON,1,0
APPX 10 DAYS,10,1
30 MINUTES MAX.,1,0
SAME DAY,1,0
1 D,1,0
2-DAYS,2,0
8HRS,1,0
LESS THAN A DAY,1,0
APRIL,30,0
10-DAYS,10,0
1.5 DAYS,2,0
A COUPLE HOURS,1,0
18 DAYS,18,0
"TWO WEEKS, MAYB",14,1
6 W,42,0
3 MOMTHS,90,0
12,12,0
APPROX. 1 DAY,1,1
"UNSURE, MANUAL",0,1
"10,000 SQ FT OR",0,1
50 DAYS,50,0
2  HOURS,1,0
APPROX 90 DAYS,90,1
10-15 DAYS,15,1
99 MONTHS,2970,0
LESS THAN A HAL,0,1
18-20 DAYS,20,1
10DAY,10,0
6 MONTHS TO A 1,365,1
8 MONTH,240,0
10 TO 15 DAYS,15,1
72 HRS,3,0
2 - 3 HOURS,1,0
ABOUT 10 DAYS,10,1
APPX 1 DAY,1,1
APPROX 3 DAYS,3,1
3-9 DAYS,9,1
ONEGAS,0,1
4 HR,1,0
2 TO 3 WEEKS,21,1
3HRS,1,0
HALD DAY,1,0
1 EEK,7,0
HALF OR ONE DAY,1,0
A FEW HOURS,1,0
10-12 DAYS,12,1
A FEW HOURS.,1,0
2+ WEEKS,14,1
APPROX. 1 MONTH,30,1
3 DAYS.,3,0
1WJ,7,0
BACKYARD AND SI,0,1
MONTHS,0,1
3M,90,0
APPROX 6 HOURS,1,0
2 DAY INSTALL,2,0
16 HOURS,1,0
4-5 HOURS,1,0
1/2 HOUR,1,0
24HR,1,0
1   DAY,1,0
30 MIN,1,0
25DAYS,25,0
16 WEEJS,112,0
6 MONTH,180,0
3 TO 5 DAYS,5,1
5MONTHS,150,0
01/2/21 1-2 DAY,2,1
1.5 WEEKS,11,0
1.5 HRS,1,0
2-.3 DAYS,3,1
O,0,1
ABOUT A MONTH,30,1
2 WEEKS - 1 MON,30,1
SETTING NEW POS,0,1
FIVE DAYS,5,0
APPROX.2 WEEKS,14,1
UKNOWN,0,1
2 HOURSE,1,0
1.5 HOURS,1,0
1M,30,0
THREE MONTHS,90,0
ALWAYS,0,1
ONE DAY.,1,0
99,99,0
2 WQEEKS,14,0
NEW FENCE & GAT,0,1
10 DYS,10,0
ONE OR TWO DAYS,2,1
8 HOUR(S),1,0
329 HOURS,14,0
3 HRS PER POLE,1,0
3+ WEEKS,21,1
99 DAYS,99,0
1 TO 5 DAYS,5,1
"SEPT 17, 18, 19",3,0
2/17 - 3/1,13,0
15 DAYSYS,15,0
1 MONTH ON THE,30,0
4  DAYS,4,0
2--3 DAYS,3,1
2MONTHS,60,0
110 DAYS,110,0
15 DATS,15,0
30 TO 60 DAYS,60,1
ESTIMATED 7 DAY,7,1
2700 SQ FT,0,1
48,48,0
72 HOURS,3,0
10MINUYES,1,0
2.5 HOURS,1,0
12 INCHES,0,1
MARCH,31,0
5/5-5/10,6,0
1 ADY,1,0
APX. 1 WEEK,7,1
6 HOURS @ LEAST,1,0
LESS THAN A WEE,7,1
10-14 DAYS,14,1
DON~T KNOW,0,1
2 HOUR,1,0
1-4 DAYS,4,1
"3 DAYS, WORST C",3,1
2HRD,1,0
15 DATYS,15,0
DIG UP AND REPA,0,1
80FT,0,1
UNTIL COMPLETED,0,1
2 OWNERS,0,1
1/13/22-1/20/22,8,0
20 MINUTES,1,0
327 HOURS,14,0
2 TO 3 MONTHS,90,1
LESS THAN 4 HOU,1,0
TODAY,1,0
1YEAR,365,0
3/6-3/31/2023,26,0
0,1,0
APPROX 14 DAYS,14,1
7 WORKING DAYS,7,0
2 DAYS WORK,2,0
40 HRS.,2,0
20 DAYHS,20,0
5 TO 7 BUSINESS,9,0
A MORNING,1,0
3 TO 4 MONTHS,120,1
3 MO.,90,0
2 WEKS,14,0
6-17-6-22,6,0
1 1/5 WEEKS,9,0
EIGHT DAYS,8,0
1 HOURT,1,0
5 WEEEKS,35,0
BETWEEN 1WK-1MT,30,1
APPROXIMATELY 1,1,1
35,35,0
1-2 WKS,14,1
1/2 A DAY,1,0
24 DAYS,24,0
2 DAAYS,2,0
ESTIMATED COMPL,0,1
6 FT ANCHOR,0,1
1 WEEK.,7,0
30DAY,30,0
COUPLE OF HOURS,1,0
APPROX 10 DAYS,10,1
3C DAYS,3,0
3  DAYS,3,0
TBD,0,1
ONGOING,0,1
15 - 20 DAYS,20,1
THIS SUMMER,94,1
ATT,0,1
LESS THAT 1 DAY,1,1
12-18 MONTHS,540,1
2 WEEKD,14,0
7 TO 10 DAYS,10,1
6MOS,180,0
596 HRS,25,0
151 DAYS,151,0
13 DAYS,13,0
16 WEEKS,112,0
28,28,0
2-3 HRS,1,0
BUILD SHOP PAD,0,1
8-10 WKS,70,1
3 - 7 DAYS,7,1
20-25 MINS,1,0
4 HOUR(S),1,0
1 - 2 HOURS,1,0
03 DAYS,3,0
2 WEEKSKS,14,0
3 WEEKSKS,21,0
36,36,0
LESS THAN 45 DA,45,1
TWO WEEKS APPRO,14,1
1 DA,1,0
2-DAY,2,0
2-3WKS,21,1
START THE 6TH F,0,1
30+ DAYS,30,1
2 WEEKS FOR SIT,14,0
"2 DAYS,",2,0
4 MONTH,120,0
1 1/2 DAYS,2,1
WEDNESDAY MORNI,1,0
2 - 4 DAYS,4,1
2 DAYSN,2,0
10AM ON,0,1
SURVEY,0,1
LESS THAN AN HO,1,0
UNKKNOWN,0,1
6-8 HOURS,1,0
TREE FOR YEARS,0,1
ONE TIME,1,0
W,0,1
CONTRACTOR,0,1
WILL POSSIBLY D,0,1
POSSIBLY 1-2 MO,60,1
5 HRS,1,0
SIDE OF HOME AN,0,1
YEARS,0,1
APPROX 1 MONTH,30,1
APPROX 3-4 DAYS,4,1
6+ MONTHS,180,1
2/16-2/26,11,0
3 DAYSAYS,3,0
4 DAY,4,0
12 MO,360,0
1HRR,1,0
2 WEKKS,14,0
3 MOS,90,0
2 DAYS3,2,0
2 WEEEKS,14,0
10 DAYS +,10,1
4/15 TO 4/17,3,0
1-3DAYS,3,1
WESTAR ENERGY,0,1
ABOUT 3 HOURS,1,0
ONE HOURE HOUR,1,0
1 OR 2 WEEKS,14,1
3 BUSINESS DAYS,3,0
1 NIGHT,1,0
7-14 DAYS,14,1
1/3 DAYS,3,1
1 - 4 DAYS,4,1
1 DSAY,1,0
1DAYP,1,0
APPROX ONE WEEK,7,1
WITHIN 2 WEEKS,14,1
3 DAYSYS,3,0
10-12 WEEKS,84,1
A COUPLE DAYS,2,0
24.DAYS,24,0
150 FEET,0,1
2 WK,14,0
4/1/23-4/10/23,10,0
TWO TO THREE DA,3,1
120,120,0
3 DYS,3,0
2 WEEJS,14,0
7 CALENDAR DAYS,7,0
PIPELINE TEST S,0,1
SURFACE TO 6 IN,0,1
4HR,1,0
2DAY,2,0
65 DAYS,65,0
NOT SURE,0,1
1-2 WEEKENDS,11,1
4-5 HRS,1,0
4 TO 6 HOURS,1,0
3 MTHS,90,0
A DAY OR TWO,2,1
1YR,365,0
1 SAYS,1,0
1 DAY TO SET UP,1,0
14 WEEKS,98,0
2 DAYS -- 01/07,2,0
8-12 WEEKS,84,1
5-6 TO 5-9-2020,4,0
ONE WEEKEND,2,0
HALF AN HOUR,1,0
20 MINS,1,0
THIS WEEKEND,2,0
ASPHALT DEEP PA,0,1
28 DAY(S),28,0
3 WEEK,21,0
1 DAY JESS,1,0
FOOTING,0,1
1 DAY - 12/23/2,1,0
2-3-DAYS,3,1
5-6 HOURS,1,0
4-6 DAYS,6,1
1 DA Y,1,0
APPX 2 WEEKS,14,1
30 DAYS DAYS,30,0
IDK?,0,1
6-10 DAYS,10,1
1 DAT,1,0
PROPERTY PINE T,0,1
1 DSY,1,0
6 INCHES,0,1
1-2  DAY,2,1
15 TO 20 DAYS,20,1
ABOUT 1 WEEK,7,1
COUPLE MONTHS,60,0
5-6 WEEKS,42,1
4/14/23 5/1/23,18,0
2 AYS,2,0
480 DAYS,480,0
5 ACRES,0,1
3 M,90,0
45 MINS,1,0
6/3/19 - 7/3/19,31,0
12/7-12/10,4,0
55 DAYS,55,0
2 - 4 WEEKS,28,1
? 1 WEEK,7,1
1 - 2 MONTHS,60,1
4 WKS,28,0
4HOURS,1,0
LESS THAN 1 HOU,1,0
4-6 HOURSN,1,0
1-2 DAYS.,2,1
4 - 5 HOURS,1,0
APPX 3 DAYS,3,1
TEAR OUT AND RE,0,1
APPROX COUPLE W,14,1
4 HORUS,1,0
10/18 - 11/01,15,0
3 - 4 WEEKS,28,1
10 BUSINESS  DA,14,0
1 OR TWO DAYS,2,1
"TWO WEEKS, IN S",14,0
1-2 DAY,2,1
1- 2 WEEKS,14,1
MONTH OF APRIL.,30,0
3 OR 4 MONTHS I,120,1
NOVEMBER 4-8,5,0
4 DAYS (6-9 JUL,4,0
ONW WEEK,7,0
3 DAYS- 1 WEEK,7,1
12 D,12,0
A FEW WEEKS,0,1
3 DAYS?,3,1
10 MINUTE,1,0
COUPLE DAY,2,0
3DAYZ,3,0
ABOUT A WEEK,7,1
1 HRRR,1,0
11,11,0
TWO WEEK,14,0
3HOURS,1,0
12 HRS,1,0
4-5 MONTHS,150,1
OGE,0,1
1 DAY INSTALL,1,0
7 MONTH,210,0
3 DAUS,3,0
3 - 4 DAYS,4,1
15 OR 20 DAYS,20,1
4 DAYS JUNE 8 T,4,0
TO BE DETERMINE,0,1
2-4 DAYS,4,1
APRIL 8TH-10TH,3,0
REAR OF PROPERT,0,1
TWO,2,0
2 OR 3 WEEKS,21,1
8/21-8/26,6,0
10 WORKING DAY,10,0
72,72,0
3FT,0,1
ONE TO TWO WEEK,14,1
2HOURS,1,0
APPROX 270DAYS,270,1
1ADY,1,0
FIVE (5) MONTHS,153,0
A COUPLE OF DAY,2,0
WITHIN 1 WEEK,7,1
10 - 14 DAYS,14,1
60 DAY(S),60,0
7 BUISINESS DAY,9,0
6 BUSINESS DAYS,8,0
PERMANANT,0,1
3 HOUS,1,0
40 MINS,1,0
3-4 HRS,1,0
20 HOURS,1,0
7-8 DAYS,8,1
12MO,360,0
20 WEEKS,140,0
2-3 WEEKS.,21,1
2WK,14,0
5 MINUTES,1,0
NEXT THREE YEAR,1095,1
2 TO 4 HOURS,1,0
POLE CHANGE OUR,0,1
7 WEEKS,49,0
1 DAYAY,1,0
27 DAYS,27,0
REMOVAL,0,1
12-16 DAYS,16,1
1 -2 DAYS,2,1
UP TO FALL,0,1
10 DAYS. PLAN T,10,0
IN TWO WEEKS,14,0
2/3 DAYS,3,1
1 BUSINESS DAY,1,0
6 HR,1,0
3 WEEKS.,21,0
3 DA,3,0
.5 DAYS,1,0
7 TO 14 DAYS,14,1
ABOUT 3 DAYS,3,1
2 DAY S,2,0
2-8 WEEKS,56,1
4 TO 5 WEEKS,35,1
ABOUT 14 DAYS,14,1
DIGGING 50? TO,0,1
WITHIN A COUPLE,0,1
15 MINS,1,0
APPROX 2 DAYS,2,1
3 WEKES,21,0
1 TO 2 WEEKS,14,1
13 WEEKS,91,0
ON GOING,0,1
2 MON,60,0
LESS THAN 1 MON,30,1
1 MONTH MAYBE L,30,1
2 MOTNHS,60,0
APPROX. 1 WEEK,7,1
THE BUILDER SAI,0,1
I MONTH,30,0
8-10WKS,70,1
REPLACE,0,1
APPROX 15 MINUT,1,0
4WEKS,28,0
1/2 DAY ON FEB.,1,0
1-2 DAYS - 12/2,2,1
WITHIN 10 DAYS,10,1
UNKNOWN - WITHI,0,1
330 DAYS,330,0
10 HRS,1,0
2 DYAS,2,0
2 HOUIRS,1,0
60 MINUTES,1,0
5HRS,1,0
5 DAYS Y,5,0
2 WEEK S,14,0
UP TO 2 DAYS,2,1
25 MINUTES,1,0
4 TO 5,5,1
1 D AY,1,0
FRIDAY THE 14TH,1,0
2.DAYS,2,0
ONE TO TWO WEE,14,1
APPROX 1 WEEK,7,1
NO MORE THAN 2,2,1
1 DAQY,1,0
4/17/19 - 4/22,6,0
"WEDNESDAY, 9/7",1,0
ALL THE TIME,0,1
ANYTIME,0,1
ONE,1,0
"APPROX, 2 WEEKS",14,1
6 MONTHS?,180,1
420 DAYS,420,0
1 TO 3 HRS,1,0
3-4HRS,1,0
4-8 WEEKS,56,1
APPX 1 MONTH,30,1
APPX 2 DAYS,2,1
115 DAYS,115,0
MAY,31,0
1 TO 2 MONTHS,60,1
30-45 DAYS,45,1
56 DAYS,56,0
INDEFINITE,0,1
3 OR 4 HOURS,1,0
7-25 THRU 7-28,4,0
4 WEEK(S),28,0
DAVIS H ELLIOT,0,1
COX COMMUNICATI,0,1
TAKE ABOUT 6 HO,1,0
15 WEEKS,105,0
SEVEN DAYS,7,0
10 MINUTES,1,0
ONEDAY,1,0
THIRTY DAYS,30,0
1 MINTH,30,0
SEP 8-18,11,0
5 WEEK(S),35,0
5 DAYS?,5,1
4/8 HRS,1,0
LESS THAN 2 DAY,2,1
A PARTIAL DAY,1,0
12-13 DAYS,13,1
1-2-WEEKS,14,1
10-13 DAYS,13,1
SEPTEMBER,30,0
1 HOUOR,1,0
ABOUT 5 HOURS,1,0
LOCATING FOR DE,0,1
6-7 DAYS,7,1
4 - 5 DAYS,5,1
1 TO 2 HOURS,1,0
NEXT 90 DAYS,90,1
1 DAI,1,0
1 AFTERNOON,1,0
10 DYAS,10,0
10 NULL,0,1
SEPT 18-28,11,0
15 SAYS,15,0
13 MONTHS,390,0
FORESEEABLE FUT,0,1
A WEEKEND,2,0
48 MONTHS,1440,0
FOR EVER,0,1
PIPE FENCE,0,1
60 MINS,1,0
10-15 MINUTES,1,0
PROPERTY LINE P,0,1
1HRS,1,0
156 HOURS,7,0
08/22-25/2022,4,0
2 BUSINESS DAYS,2,0
THE NEXT 3 WEEK,21,1
"A FEW WEEKS, SU",0,1
3 TO 6 MONTHS,180,1
1/2 DAYS,1,0
HOMEOWNER,0,1
2 DSYS,2,0
1 MONTH OR LESS,30,1
ABOUT 5-7 DAYS.,7,1
^ 2 WEEKS,14,1
SPRING,93,0
1 MONTH.,30,0
9-1 TO 9-30,30,0
3 DAYSN,3,0
10-20 DAYS,20,1
7 ADYS,7,0
1-3 DAY,3,1
UNKNOWN 2 DAYS?,2,1
0.5 DAYS,1,0
2 WEEKS - 12/30,14,0
AROUND A MONTH,30,1
NO MORE THAT 5,5,1
4/20/2022-4/25/,6,0
4 DA7S,4,0
LESS THAN 2 WKS,14,1
2 MOS.,60,0
2 HOURS ATT,1,0
8 HOURS - 01/06,1,0
1 WEEK - 10 DAY,10,1
5 WORKING DAYS,5,0
2 DAUS,2,0
1 WEEK EXCAVATI,7,0
WITHIN 15 DAYS,15,1
5/3/22 TO 2/20/,294,0
APPROX 1 DAY,1,1
24-72 HRS,3,1
TEN BUSINESS DA,14,0
20 MIN,1,0
TEN DAYS,10,0
10MINUTES,1,0
1 WEEKK,7,0
1 1/2 MONTHS,45,0
THROUGH FEB,0,1
UNTIL FINISHED,0,1
4-8 HRS,1,0
3 DAYSS,3,0
2 WIEEKS,14,0
PROBABLY A DAY,1,1
UNDER 24 HOURS.,1,0
4WK,28,0
9/15 TO 9/17,3,0
1.5,2,0
JUNE 30TH,1,0
5 TO 6 DAYS,6,1
3 TO 5 WEEKS,35,1
1 WEEK AT MOST,7,1
2 MONTTS,60,0
1 WEK,7,0
4 DOURS,4,0
ONE-TWO WEEKS.,14,1
3 - 5 DAYS,5,1
SHOULD BE NO MO,0,1
4/26/22-5/7/22,12,0
10MINS,1,0
TWO WEEKENDS,11,0
6 MONTHS TO 1 Y,365,1
NOVEMBER 26-30,5,0
UP TO 2 WEEKS,14,1
1-2 YEARS,730,1
3 WEEKS OR SO,21,1
16 HRS,1,0
1 DAYS WORK,1,0
2 DASY,2,0
2 WEEKENDS,11,0
UNKNOW,0,1
2- WEEKS,14,1
MAYBE 2 DAYS,2,1
5DAY,5,0
4 TO 6 HRS,1,0
20 MONTHS,600,0
JUNE,30,0
7 HOURS,1,0
60 DAY,60,0
1 1/2 HOURS,1,0
SAT 27TH SUN28T,2,0
21 DAY(S),21,0
UNKNONW,0,1
MARCH 9 - 13,5,0
20-30 MINS,1,0
10?,10,1
10-12 HOURS,1,0
4.5 HOURS,1,0
24,24,0
BASED ON WEATHE,0,1
3 DAYS TO DIG A,3,0
